gene_name	external_gene_name	ProductivityWhenExonIncluded	strand	Frame_of_upstream_exon	Frame_of_cassette_exon	Frame_of_downstream_exon	Coordinates_of_upstream_exon	Coordinates_of_cassette_exon	Coordinates_of_downstream_exon	dN.dS_of_upstream_exon	dN.dS_of_cassette_exon	dN.dS_of_downstream_exon	MeanPhyloP_of_upstream_exon	MeanPhyloP_of_cassette_exon	MeanPhyloP_of_downstream_exon	IsDifferentiallySpliced_in_at_least_one_contrast_in_human_and_anyNonMacaque
ENSG00000129158.11	SERGEF	Productive	-	2	2	2	chr11:17988597-17988755	chr11:17959470-17959636	chr11:17878222-17878244	2.047619047619047	5.40952380952381	1.9857723577235773	2.3769128	1.5043115615844729	2.756604	FALSE
ENSG00000166788.10	SAAL1	Productive	-	0	0	2	chr11:18086866-18087054	chr11:18083535-18083728	chr11:18081411-18081503	1.40552016985138	6.658333333333333	3.657446808510638	2.3247204	2.3692784309387207	3.1400902	TRUE
ENSG00000151116.17	UEVLD	Productive	-	0	0	2	chr11:18536406-18536469	chr11:18534330-18534453	chr11:18532320-18532487	3.4313725490196076	0.6676970633693973	5.134831460674158	2.152155	3.136080741882324	1.3966875	FALSE
ENSG00000151116.17	UEVLD	Productive	-	2	2	0	chr11:18558228-18558330	chr11:18546880-18547050	chr11:18544623-18544796	0.9067713444553483	0.8820662768031189	8.631578947368421	3.6198967	3.491274833679199	2.7619421	FALSE
ENSG00000151116.17	UEVLD	Productive	-	2	2	0	chr11:18578724-18578736	chr11:18575347-18575412	chr11:18570214-18570377	0.48	0.625	0.40540540540540543	4.348463	3.894803047180176	3.569923	FALSE
ENSG00000129170.10	CSRP3	Productive	-	0	0	0	chr11:19192337-19192448	chr11:19188136-19188304	chr11:19184952-19185045	0.08213096559378469	12.157232704402515	0.14570858283433133	5.6289997	4.5044264793396	5.1602325	FALSE
ENSG00000066382.17	MPPED2	Unproductive	-	2	2	1	chr11:30535994-30536175	chr11:30504736-30504833	chr11:30495296-30495521	12.96808510638298	2.8870967741935485	5.258620689655173	6.189323	3.7776734828948975	6.274132251739502	TRUE
ENSG00000007372.25	PAX6	Productive	-	2	2	2	chr11:31793438-31793553	chr11:31790710-31790860	chr11:31790006-31790019	0	0.23444976076555024	0.23842592592592593	6.6086426	6.1825695	5.771008014678955	TRUE
ENSG00000007372.25	PAX6	Productive	-	0	0	2	chr11:31802704-31802834	chr11:31801871-31801912	chr11:31801762-31801776	0.0202020202020202	1.7714285714285714	9.43	6.194801	7.4049997	4.749351	FALSE
ENSG00000184937.16	WT1	Productive	-	2	2	0	chr11:32396257-32396407	chr11:32392666-32392755	chr11:32391981-32392064	13.114285714285714	23.52	8.06857142857143	6.654893	5.638811111450195	5.0775895	FALSE
ENSG00000184937.16	WT1	Productive	-	1	1	1	chr11:32417577-32417654	chr11:32416490-32416540	chr11:32399948-32400044	21.688524590163933	1.5416666666666667	0.0774818401937046	3.8253508	2.805274724960327	4.415256	TRUE
ENSG00000110429.14	FBXO3	Unproductive	-	2	2	1	chr11:33768851-33769014	chr11:33763206-33763286	chr11:33758487-33758601	0.419	2.6052631578947367	0.92914653784219	4.5546	0.9844321012496948	3.5092990398406982	TRUE
ENSG00000110436.13	SLC1A2	Productive	-	0	0	1	chr11:35265527-35265758	chr11:35261670-35261740	chr11:35260894-35260965	3.238532110091743	4.988505747126437	1.7521793275217932	4.70882	3.4789435863494873	5.182909	FALSE
ENSG00000110436.13	SLC1A2	Productive	-	1	1	1	chr11:35286757-35286951	chr11:35280867-35281001	chr11:35265527-35265758	1.7521793275217932	1.6972010178117047	0.14577114427860696	5.182909	5.457355976104736	5.355775	FALSE
ENSG00000110436.13	SLC1A2	Productive	-	1	1	2	chr11:35301519-35301645	chr11:35292287-35292520	chr11:35286816-35286951	0.01432835820895522	0.5147705845380264	0.4030037546933667	5.4804115	5.799615859985352	5.580709457397461	FALSE
ENSG00000149090.13	PAMR1	Productive	-	2	2	2	chr11:35468001-35468108	chr11:35451888-35451938	chr11:35441648-35441693	1.4710144927536233	6.571428571428571	1.3579638752052543	3.2343698	0.24378430843353271	3.7996762	FALSE
ENSG00000110442.12	COMMD9	Productive	-	2	2	0	chr11:36278477-36278616	chr11:36277089-36277123	chr11:36276137-36276240	0.2693298969072165	4.676470588235294	18.178571428571427	4.6887884	2.900571823120117	3.41115	FALSE
ENSG00000175274.19	TP53I11	Productive	-	2	2	0	chr11:44937304-44937352	chr11:44936803-44936899	chr11:44935561-44935662	14.80281690140845	9.578125	2.292682926829268	5.0087156	4.178515434265137	3.9285717	FALSE
ENSG00000135365.17	PHF21A	Productive	-	0	0	0	chr11:45945840-45945869	chr11:45938157-45938312	chr11:45936494-45936569	2.348314606741573	0.06676669167291822	1.4	6.2758684	6.614057540893555	6.482799	TRUE
ENSG00000110497.15	AMBRA1	Productive	-	1	1	0	chr11:46417913-46417995	chr11:46410276-46410368	chr11:46408513-46408706	0.7179269328802039	0.4689119170984456	0.034610630407911	4.237778	3.4176130294799805	5.966036319732666	FALSE
ENSG00000110497.15	AMBRA1	Productive	-	1	1	0	chr11:46541945-46543398	chr11:46512727-46512813	chr11:46508191-46508370	1.0719895287958114	0.15009746588693956	2.9473423980222497	5.1296725	5.731367588043213	3.943920135498047	TRUE
ENSG00000175220.12	ARHGAP1	Productive	-	0	0	2	chr11:46688173-46688260	chr11:46682051-46682182	chr11:46681293-46681379	0.13432835820895522	25.414634146341463	0.22623828647925032	5.262207	5.150606155395508	4.40342	FALSE
ENSG00000175216.15	CKAP5	Productive	-	0	0	1	chr11:46758923-46759043	chr11:46754888-46755067	chr11:46753489-46753497	0.2112676056338028	1.164807930607187	0.2962962962962963	4.9999995	5.299366474151611	5.3176947	FALSE
ENSG00000175216.15	CKAP5	Productive	-	1	1	0	chr11:46760612-46760673	chr11:46760352-46760375	chr11:46759269-46759442	6.511111111111111	0	1.3856502242152466	4.401201	7.136416912078857	3.6508226	TRUE
ENSG00000090621.15	PABPC4	Productive	-	2	2	1	chr1:39564471-39564542	chr1:39563836-39563922	chr1:39563614-39563741	1.32	4.6923076923076925	0.8757062146892656	3.7677813000000002	2.7409653663635254	3.997333526611328	TRUE
ENSG00000149182.15	ARFGAP2	Productive	-	0	0	0	chr11:47175182-47175313	chr11:47175015-47175098	chr11:47173759-47173840	4.670731707317073	22.125	2.5544794188861983	1.1964632	3.0985476970672607	4.0605836	TRUE
ENSG00000134575.13	ACP2	Productive	-	0	0	0	chr11:47245682-47245834	chr11:47245305-47245572	chr11:47244735-47244867	2.3971014492753624	1.521492295214923	2.720156555772994	2.9719925	2.580526113510132	4.2913594	TRUE
ENSG00000134575.13	ACP2	Productive	-	0	0	0	chr11:47248676-47248789	chr11:47248038-47248133	chr11:47247641-47247727	0.4766917293233083	16.846153846153847	2.067857142857143	3.1593218	3.4215831756591797	1.5212542	TRUE
ENSG00000165916.9	PSMC3	Productive	-	0	0	0	chr11:47424607-47424711	chr11:47424429-47424491	chr11:47424046-47424183	39.8	0.953405017921147	4.009345794392523	6.055935	4.9963483810424805	5.7096663	TRUE
ENSG00000165916.9	PSMC3	Productive	-	0	0	2	chr11:47425867-47425946	chr11:47425121-47425246	chr11:47424607-47424711	4.009345794392523	0.02064409578860446	0.3904109589041096	5.7096663	5.898937225341797	5.3543878	FALSE
ENSG00000109919.10	MTCH2	Productive	-	0	0	2	chr11:47638699-47638805	chr11:47635545-47635571	chr11:47634672-47634734	2.1328125	7.956521739130435	0.8974358974358975	1.7883176	2.098370313644409	3.656168222427368	TRUE
ENSG00000165923.17	AGBL2	Productive	-	2	2	2	chr11:47710377-47710511	chr11:47705864-47705917	chr11:47704543-47704728	2.7	2.96875	2.72	1.5360054	0.37340742349624634	0.86772597	FALSE
ENSG00000109920.13	FNBP4	Unproductive	-	2	2	1	chr11:47731374-47731561	chr11:47725737-47725836	chr11:47724468-47724778	2.63727959697733	7.056603773584905	3.86737400530504	3.4961095	2.041100025177002	3.352888	TRUE
ENSG00000109920.13	FNBP4	Unproductive	-	1	1	0	chr11:47732537-47732670	chr11:47732117-47732219	chr11:47731374-47731561	3.86737400530504	1.8386524822695036	14.327868852459016	3.352888	3.361067771911621	6.348739147186279	TRUE
