ID	ID_Species	ID_Organ	ID_Stage	ID_libNumber	sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias	library ID	Species	Tissue	Stage	Sex.x	Used library?	Species (strain)	Organ	Developmental stage	Sex.y	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID	Ordinal_stage	Label_As_in_PreviousAnalysis	Tissue_ForDevelopementalAnalysis
Chicken_Liver_14_1616	Chicken	Liver	14	1616	SAMEA4659303	ERR2576437	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576437/ERR2576437.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576437/ERR2576437.fastq.gz	E-MTAB-6769:1616sTSb.Chicken.Liver.14.Female	1616	Chicken	Liver	14	Female	yes	Chicken (red junglefowl)	Liver	e14	Female	OBIWAN 133 lane 7	e14	27500284	26722806	97%	QIAgen RNeasy QIAzol	8.9	NA	NA	3	e14	Liver
Chicken_Ovary_14_1617	Chicken	Ovary	14	1617	SAMEA4659305	ERR2576439	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576439/ERR2576439.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576439/ERR2576439.fastq.gz	E-MTAB-6769:1617sTS.Chicken.Ovary.14.Female	1617	Chicken	Ovary	14	Female	yes	Chicken (red junglefowl)	Ovary	e14	Female	VADER 126 lane 3	e14	31122299	29641855	95%	QIAgen RNeasy QIAzol	8.9	NA	NA	3	e14	Ovary
Chicken_Heart_14_1340	Chicken	Heart	14	1340	SAMEA4659310	ERR2576444	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576444/ERR2576444.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576444/ERR2576444.fastq.gz	E-MTAB-6769:1340sTS.Chicken.Heart.14.Male	1340	Chicken	Heart	14	Male	yes	Chicken (red junglefowl)	Heart	e14	Male	OBIWAN 94 lane 2	e14	34492689	33123711	96%	QIAgen RNeasy QIAzol	8.7	NA	NA	3	e14	Heart
Chicken_Heart_14_1548	Chicken	Heart	14	1548	SAMEA4659311	ERR2576445	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576445/ERR2576445.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576445/ERR2576445.fastq.gz	E-MTAB-6769:1548sTS.Chicken.Heart.14.Male	1548	Chicken	Heart	14	Male	yes	Chicken (red junglefowl)	Heart	e14	Male	VADER 177 lane 7	e14	43313795	41538615	96%	QIAgen RNeasy QIAzol	9.5	NA	NA	3	e14	Heart
Chicken_Brain_17_1628	Chicken	Brain	17	1628	SAMEA4659319	ERR2576453	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576453/ERR2576453.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576453/ERR2576453.fastq.gz	E-MTAB-6769:1628sTS.Chicken.Brain.17.Female	1628	Chicken	Brain	17	Female	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Female	OBIWAN 47 lane 7	e17	23917561	23172479	97%	QIAgen RNeasy QIAzol	8.9	NA	NA	4	e17	Brain
Chicken_Heart_17_2476	Chicken	Heart	17	2476	SAMEA4659323	ERR2576457	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576457/ERR2576457.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576457/ERR2576457.fastq.gz	E-MTAB-6769:2476sTS.Chicken.Heart.17.Female	2476	Chicken	Heart	17	Female	yes	Chicken (red junglefowl)	Heart	e17	Female	VADER 177 lane 8	e17	41737109	40007461	96%	QIAgen RNeasy QIAzol	8.2	NA	NA	4	e17	Heart
Chicken_Kidney_17_1484	Chicken	Kidney	17	1484	SAMEA4659324	ERR2576458	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576458/ERR2576458.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576458/ERR2576458.fastq.gz	E-MTAB-6769:1484sTS.Chicken.Kidney.17.Female	1484	Chicken	Kidney	17	Female	yes	Chicken (red junglefowl)	Kidney	e17	Female	VADER 177 lane 6	e17	36316523	34640108	95%	QIAgen RNeasy QIAzol	8.6	NA	NA	4	e17	Kidney
Chicken_Kidney_17_1631	Chicken	Kidney	17	1631	SAMEA4659325	ERR2576459	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576459/ERR2576459.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576459/ERR2576459.fastq.gz	E-MTAB-6769:1631sTS.Chicken.Kidney.17.Female	1631	Chicken	Kidney	17	Female	yes	Chicken (red junglefowl)	Kidney	e17	Female	OBIWAN 94 lane 2	e17	27122332	25968396	96%	QIAgen RNeasy QIAzol	8.5	NA	NA	4	e17	Kidney
Chicken_Liver_17_1485	Chicken	Liver	17	1485	SAMEA4659326	ERR2576460	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576460/ERR2576460.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576460/ERR2576460.fastq.gz	E-MTAB-6769:1485sTSm.Chicken.Liver.17.Female	1485	Chicken	Liver	17	Female	yes	Chicken (red junglefowl)	Liver	e17	Female	VADER 194 lane 8 / OBIWAN 47 lane 8	e17	26190091	25268976	96%	QIAgen RNeasy QIAzol	8.5	NA	NA	4	e17	Liver
Chicken_Liver_17_1634	Chicken	Liver	17	1634	SAMEA4659327	ERR2576461	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576461/ERR2576461.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576461/ERR2576461.fastq.gz	E-MTAB-6769:1634sTS.Chicken.Liver.17.Female	1634	Chicken	Liver	17	Female	yes	Chicken (red junglefowl)	Liver	e17	Female	VADER 126 lane 2	e17	24138391	23430445	97%	QIAgen RNeasy QIAzol	9	NA	NA	4	e17	Liver
Chicken_Ovary_17_1427	Chicken	Ovary	17	1427	SAMEA4659328	ERR2576462	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576462/ERR2576462.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576462/ERR2576462.fastq.gz	E-MTAB-6769:1427sTS.Chicken.Ovary.17.Female	1427	Chicken	Ovary	17	Female	yes	Chicken (red junglefowl)	Ovary	e17	Female	VADER 104 lane 4	e17	30433419	28572451	94%	QIAgen RNeasy QIAzol	6.6	NA	NA	4	e17	Ovary
Chicken_Brain_17_1620	Chicken	Brain	17	1620	SAMEA4659331	ERR2576465	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576465/ERR2576465.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576465/ERR2576465.fastq.gz	E-MTAB-6769:1620sTS.Chicken.Brain.17.Male	1620	Chicken	Brain	17	Male	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Male	VADER 126 lane 8	e17	20259081	19549305	96%	QIAgen RNeasy QIAzol	8.9	NA	NA	4	e17	Brain
Chicken_Heart_17_1474	Chicken	Heart	17	1474	SAMEA4659334	ERR2576468	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576468/ERR2576468.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576468/ERR2576468.fastq.gz	E-MTAB-6769:1474sTS.Chicken.Heart.17.Male	1474	Chicken	Heart	17	Male	yes	Chicken (red junglefowl)	Heart	e17	Male	VADER 177 lane 6	e17	42582009	40997357	96%	QIAgen RNeasy QIAzol	8.8	NA	NA	4	e17	Heart
Chicken_Kidney_17_1480	Chicken	Kidney	17	1480	SAMEA4659336	ERR2576470	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576470/ERR2576470.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576470/ERR2576470.fastq.gz	E-MTAB-6769:1480sTS.Chicken.Kidney.17.Male	1480	Chicken	Kidney	17	Male	yes	Chicken (red junglefowl)	Kidney	e17	Male	VADER 177 lane 6	e17	39544415	37717793	95%	QIAgen RNeasy QIAzol	8.8	NA	NA	4	e17	Kidney
Chicken_Kidney_17_1623	Chicken	Kidney	17	1623	SAMEA4659337	ERR2576471	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576471/ERR2576471.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576471/ERR2576471.fastq.gz	E-MTAB-6769:1623sTS.Chicken.Kidney.17.Male	1623	Chicken	Kidney	17	Male	yes	Chicken (red junglefowl)	Kidney	e17	Male	OBIWAN 94 lane 1	e17	30469443	29274202	96%	QIAgen RNeasy QIAzol	8.8	NA	NA	4	e17	Kidney
Chicken_Liver_17_1481	Chicken	Liver	17	1481	SAMEA4659338	ERR2576472	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576472/ERR2576472.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576472/ERR2576472.fastq.gz	E-MTAB-6769:1481sTS.Chicken.Liver.17.Male	1481	Chicken	Liver	17	Male	yes	Chicken (red junglefowl)	Liver	e17	Male	OBIWAN 47 lane 6	e17	26695239	25858082	97%	QIAgen RNeasy QIAzol	8.6	NA	NA	4	e17	Liver
Chicken_Liver_17_1624	Chicken	Liver	17	1624	SAMEA4659339	ERR2576473	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576473/ERR2576473.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576473/ERR2576473.fastq.gz	E-MTAB-6769:1624sTS.Chicken.Liver.17.Male	1624	Chicken	Liver	17	Male	yes	Chicken (red junglefowl)	Liver	e17	Male	OBIWAN 44 lane 7	e17	29632531	28103423	95%	QIAgen RNeasy QIAzol	9.2	NA	NA	4	e17	Liver
Chicken_Testis_17_1424	Chicken	Testis	17	1424	SAMEA4659340	ERR2576474	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576474/ERR2576474.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576474/ERR2576474.fastq.gz	E-MTAB-6769:1424sTS.Chicken.Testis.17.Male	1424	Chicken	Testis	17	Male	yes	Chicken (red junglefowl)	Testis	e17	Male	VADER 104 lane 4	e17	30701838	28863226	94%	QIAgen RNeasy QIAzol	8.1	NA	NA	4	e17	Testis
Chicken_Cerebellum_0dph_1639	Chicken	Cerebellum	0dph	1639	SAMEA4659345	ERR2576479	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576479/ERR2576479.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576479/ERR2576479.fastq.gz	E-MTAB-6769:1639sTSm.Chicken.Cerebellum.0dph.Female	1639	Chicken	Cerebellum	0dph	Female	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Female	OBIWAN 42 lane 7	P0	208991160	194398876	93%	QIAgen RNeasy QIAzol	9.1	NA	NA	5	P0	Cerebellum
Chicken_Heart_0dph_1476	Chicken	Heart	0dph	1476	SAMEA4659346	ERR2576480	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576480/ERR2576480.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576480/ERR2576480.fastq.gz	E-MTAB-6769:1476sTS.Chicken.Heart.0dph.Female	1476	Chicken	Heart	0dph	Female	yes	Chicken (red junglefowl)	Heart	P0	Female	OBIWAN 94 lane 1	P0	34554617	33567349	97%	QIAgen RNeasy QIAzol	8.5	NA	NA	5	P0	Heart
Chicken_Heart_0dph_1640	Chicken	Heart	0dph	1640	SAMEA4659347	ERR2576481	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576481/ERR2576481.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576481/ERR2576481.fastq.gz	E-MTAB-6769:1640sTS.Chicken.Heart.0dph.Female	1640	Chicken	Heart	0dph	Female	yes	Chicken (red junglefowl)	Heart	P0	Female	VADER 177 lane 7	P0	34190033	33064894	97%	QIAgen RNeasy QIAzol	8.6	NA	NA	5	P0	Heart
Chicken_Liver_0dph_1642	Chicken	Liver	0dph	1642	SAMEA4659351	ERR2576485	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576485/ERR2576485.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576485/ERR2576485.fastq.gz	E-MTAB-6769:1642sTS.Chicken.Liver.0dph.Female	1642	Chicken	Liver	0dph	Female	yes	Chicken (red junglefowl)	Liver	P0	Female	VADER 126 lane 2	P0	28316023	27370470	97%	QIAgen RNeasy QIAzol	8.9	NA	NA	5	P0	Liver
Chicken_Brain_0dph_1806	Chicken	Brain	0dph	1806	SAMEA4659355	ERR2576489	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576489/ERR2576489.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576489/ERR2576489.fastq.gz	E-MTAB-6769:1806sTSm.Chicken.Brain.0dph.Male	1806	Chicken	Brain	0dph	Male	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P0	Male	OBIWAN 100 lane 3 / VADER 126 lane 8	P0	49780959	48004527	96%	QIAgen RNeasy QIAzol	NA	10	NA	5	P0	Brain
Chicken_Cerebellum_0dph_1540	Chicken	Cerebellum	0dph	1540	SAMEA4659356	ERR2576490	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576490/ERR2576490.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576490/ERR2576490.fastq.gz	E-MTAB-6769:1540sTSm.Chicken.Cerebellum.0dph.Male	1540	Chicken	Cerebellum	0dph	Male	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Male	OBIWAN 99 lane 8 / OBIWAN 45 lane 8	P0	40787026	39132278	96%	QIAgen RNeasy QIAzol	7.3	NA	NA	5	P0	Cerebellum
Chicken_Heart_0dph_1541	Chicken	Heart	0dph	1541	SAMEA4659358	ERR2576492	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576492/ERR2576492.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576492/ERR2576492.fastq.gz	E-MTAB-6769:1541sTS.Chicken.Heart.0dph.Male	1541	Chicken	Heart	0dph	Male	yes	Chicken (red junglefowl)	Heart	P0	Male	VADER 177 lane 7	P0	41871630	40495685	97%	QIAgen RNeasy QIAzol	8.8	NA	NA	5	P0	Heart
Chicken_Heart_0dph_1659	Chicken	Heart	0dph	1659	SAMEA4659359	ERR2576493	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576493/ERR2576493.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576493/ERR2576493.fastq.gz	E-MTAB-6769:1659sTS.Chicken.Heart.0dph.Male	1659	Chicken	Heart	0dph	Male	yes	Chicken (red junglefowl)	Heart	P0	Male	OBIWAN 94 lane 1	P0	35877656	34989423	98%	QIAgen RNeasy QIAzol	8.3	NA	NA	5	P0	Heart
